Annotations,Reviews,Reviews_Cleaned,Annotator2,Annotator1,Final_Annotation
-1/0,"restaurant mon ami en las vegas , un verdadero engaño, comida francesa , pero de muy mala calidad, papas fritas duras, trozo pequeño de carne, todo muy caro , y no vale lo que cobran, la atencion es buena pero la comida deja bastante que desear, un vino de 8 dólares lo cobran a 60 un verdadero robo, NO recomendable ,  restaurant mon ami in las vegas, a true cheat, French food, but very poor quality, hard fries, small piece of meat, all very expensive, and not worth what they charge, the attention is good but the food leaves enough Wishing, a wine of 8 dollars is charged at 60 a real steal, NOT recommended",restaurant mon ami en la vega un verdadero enga comida francesa pero de muy mala calidad papa fritas dura trozo peque de carne todo muy caro no vale lo que cobran la atencion e buena pero la comida deja bastante que desear un vino de lares lo cobran un verdadero robo no recomendable restaurant mon ami in la vega true cheat french food but very poor quality hard fry small piece of meat all very expensive and not worth what they charge the attention is good but the food leaf enough wishing wine of dollar is charged at real steal not recommended,-1,0,0
-1/1,"Love love love this place .. Its kind of small - all food are being burnt, trust t name of t restaurant .. Totally burnt t food to perfection .. †e are healthy and delicious ..  Bring your own fine wine .. Their wine list is abit short  But t palette experience is worth it",love love love this place it kind of small all food are being burnt trust name of restaurant totally burnt food to perfection are healthy and delicious bring your own fine wine their wine list is abit short but palette experience is worth it,-1,1,1
-1/0,"The satay was ok, it was a little tough and sauce was not that eventful",the satay wa ok it wa little tough and sauce wa not that eventful,-1,0,0
-1/1,"I loved the ambience of this place. Food was great although not perfect, service could also be more friendlier. But overall it was a wonderful experience and I would come back again.",loved the ambience of this place food wa great although not perfect service could also be more friendlier but overall it wa wonderful experience and would come back again,-1,1,1
-1/0,"Sadly this place was a huge disappointment service wise, though food was pretty good.",sadly this place wa huge disappointment service wise though food wa pretty good,-1,0,0
-1/0,"The crab served had a foul smell, like ammonia. The waiter was polite, and recognized the smell. He said that he could replace the crab’s portion with the smell, but has also said that there’s no way ammonia could have touched that crab, what he meant by that we are not so sure about it. The crab’s shell was also rubbery, making it difficult to break it.Rest of food was good, though, but nothing special.",the crab served had foul smell like ammonia the waiter wa polite and recognized the smell he said that he could replace the crab portion with the smell but ha also said that there no way ammonia could have touched that crab what he meant by that we are not so sure about it the crab shell wa also rubbery making it difficult to break it rest of food wa good though but nothing special,-1,0,0
-1/0,"The service and the interior was nice but the food was not unfortunally, there are way better places in Gothenburg than this.",the service and the interior wa nice but the food wa not unfortunally there are way better place in gothenburg than this,-1,0,0
-1/0,Service was shocking! ,service wa shocking,-1,0,0
-1/0,They did have a very uninspired grilled chicken breast and veggies for my daughter. Waiter not very knowledgable about the menu which was very limited for potential gluten free options. Great atmosphere but would not return again.?,they did have very uninspired grilled chicken breast and veggie for my daughter waiter not very knowledgable about the menu which wa very limited for potential gluten free option great atmosphere but would not return again,-1,0,0
-1/0,The food taste isn’t great. It’s just average. I must say that our dining experience was also average.,the food taste isn great it just average must say that our dining experience wa also average,-1,0,0
-1/1,"Nice people, friendly welcome, good beer. We both chose migas to start, a bit disappointed with the small amount of sausage, ham and raisins in it.",nice people friendly welcome good beer we both chose migas to start bit disappointed with the small amount of sausage ham and raisin in it,-1,1,1
-1/1,Our first experience of Israeli food and it was beyond the special.,our first experience of israeli food and it wa beyond the special,-1,1,1
-1/0,"Nice ambience, picturesque, bad quality food and unreasonably expensive. Service was good. A real tourist trap.",nice ambience picturesque bad quality food and unreasonably expensive service wa good real tourist trap,-1,0,0
-1/0,The staff seems very allergy aware but not familiar with alpha-gal allergy. ,the staff seems very allergy aware but not familiar with alpha gal allergy,-1,0,0
-1/0,Good food too many homeless hang out there,good food too many homeless hang out there,-1,0,0
-1/0,"Maybe my expectation was too high, but I wasn't very much impressed. Service was friendly and prompt, and the ambience was quaint.",maybe my expectation wa too high but wa not very much impressed service wa friendly and prompt and the ambience wa quaint,-1,0,0
